sex,TL
F,1240
M,1240
F,1240
F,1240
F,1240
F,1240
F,1250
M,1250
M,1250
F,1250
F,1250
M,1250
M,1250
F,1255.488
,1255.488
,1255.488
M,1255.488
F,1255.488
F,1255.488
F,1255.488
F,1255.488
F,1255.488
F,1255.488
F,1255.488
F,1255.488
Unknown,1255.488
F,1255.488
Unknown,1255.488
M,1260
F,1260
F,1260
M,1260
F,1260
F,1260
M,1260
M,1260
F,1262.167
F,1262.167
F,1270
M,1270
F,1270
,1272.043
,1272.043
F,1272.043
M,1272.043
M,1272.043
Unknown,1272.043
F,1274.425
F,1280
F,1280
F,1280
M,1280
M,1280
M,1280
F,1280
F,1280
M,1280
F,1280
F,1286.683
M,1286.683
,1288.598
F,1288.598
F,1288.598
M,1288.598
F,1288.598
M,1290
M,1296.8755
M,1300
F,1300
F,1300
M,1300
F,1300
M,1300
M,1300
,1305.153
F,1305.153
F,1305.153
M,1305.153
M,1305.153
F,1305.153
F,1310
F,1310
F,1310
M,1310
M,1310
M,1310
M,1320
M,1320
M,1320
F,1320
F,1320
M,1321.708
M,1321.708
M,1321.708
M,1321.708
F,1321.708
M,1321.708
M ,1321.708
F,1323.457
M,1330
M,1330
M,1330
F,1330
F,1330
F,1330
F,1338.263
M,1338.263
M,1338.263
F,1340
M,1340
F,1340
F,1340
F,1350
F,1350
F,1354.818
F,1354.818
M,1354.818
M,1354.818
F,1354.818
F,1354.818
F,1354.818
M,1358.129
F,1359.7845
F,1360
F,1360
M,1360
F,1360
F,1360
F,1360.231
M,1369.511
F,1370
M,1370
M,1370
F,1370
M,1370
M,1371.373
Unknown,1371.373
F,1380
F,1387.928
M,1387.928
M,1387.928
F,1390
F,1400
M,1400
M,1400
M,1400
F,1400
F,1400
F,1400
F,1404.483
M,1410
M,1410
F,1421.038
M,1421.038
F,1430
M,1430
M,1430
F,1430
M,1433.779
F,1433.779
M,1437.593
F,1440
F,1440
F,1440
F,1450
F,1450
M,1450
F,1450
M,1454.148
M,1454.148
Unknown,1454.148
M,1460
F,1460
F,1462.4255
M,1470
M,1470.703
M,1470.703
M,1480
M,1480
F,1485.6025
F,1487.258
M,1487.258
F,1487.258
F,1487.258
F,1487.258
F,1500
F,1500
F,1500
M,1503.813
M,1503.813
F,1503.813
M,1510
M,1510
F,1512.0905
F,1520
,1520.368
M,1520.368
F,1520.368
F,1530
F,1530
M,1530
F,1536.923
F,1536.923
F,1540
F,1540
F,1540
F,1545.2005
F,1550
F,1550
M,1550
,1553.478
M,1553.478
F,1553.478
M,1553.478
F,1553.478
F,1553.478
F,1553.478
F,1553.478
F,1560
F,1560
F,1560
F,1560
F,1560
F,1570
M,1570
F,1570
M,1570
F,1570
F,1570.033
M,1570.033
F,1570.033
F,1570.033
,1570.033
F,1570.033
Unknown,1570.033
M,1580
F,1580
M,1586.588
F,1586.588
,1586.588
F,1590
M,1590
F,1600
F,1603.143
,1603.143
F,1603.143
F,1603.143
Unknown,1603.143
F,1605.391
F,1610
F,1610
F,1610
F,1619.698
F,1619.698
F,1619.698
F,1619.698
F,1619.698
F,1630
F,1630
M,1630
F,1636.253
M,1640
M,1640
M,1644.5305
F,1650
F,1650
F,1652.808
F,1660
M,1660
M,1661.0855
M,1669.363
F,1669.363
F,1669.363
F,1669.363
F,1670
M,1671.0185
M,1680
F,1685.918
F,1685.918
F,1685.918
,1690.8845
F,1694.1955
M,1694.1955
F,1695.851
M,1699.162
M,1700
,1702.473
F,1702.473
M,1702.473
F,1719.028
M,1719.028
M,1719.028
F,1719.028
M,1719.028
F,1719.028
,1727.3055
F,1730
M,1730
F,1730
M,1730
F,1735.583
M,1735.583
,1735.583
F,1735.583
F,1740
F,1750
F,1750
F,1750
F,1752.138
,1752.138
M,1752.138
Unknown,1752.138
Unknown,1752.138
F,1760
F,1760
M,1768.693
M,1768.693
,1768.693
,1768.693
F,1768.693
F,1768.693
M,1770
F,1780
M,1780
F,1785.248
F,1789.261
M,1800
F,1801.519
F,1801.803
F,1801.803
Unknown,1801.803
F,1820
F,1820
F,1820
F,1826.035
,1826.6355
F,1834.913
F,1851.468
F,1851.468
M,1860
M,1868.023
F,1890
F,1890
M,1890
M,1892.8555
F,1900
M,1900
F,1900
M,1901.133
F,1909.4105
F,1930
F,1930
F,1934.243
F,1934.243
M,1934.243
M,1940
F,1950
F,1950.798
M,1950.798
F,1959.0755
F,1960
M,1967.353
M,1967.353
M,1967.353
M,1983.536
F,1983.908
M,1983.908
F,1983.908
F,2000
M,2000
M,2000
F,2000.463
F,2017.018
M,2017.018
M,2020
F,2030
F,2030
M,2030
M,2033.573
M,2033.573
F,2040
M,2050
F,2050.128
Unknown,2050.128
F,2058.937
M,2060
F,2060
M,2070
F,2080
M,2080
F,2083.238
M,2099.793
M,2100
F,2100
M,2116.348
F,2116.348
F,2130
F,2130
F,2132.903
F,2150
F,2160
F,2160
F,2160
F,2166.013
M,2170
M,2180
M,2180
F,2182.568
F,2190
F,2190
M,2200
F,2210
F,2220
M,2240
F,2250
M,2265.343
M,2281.898
M,2281.898
M,2290
M,2298.453
M,2300
M,2320
M,2348.118
F,2350
F,2370
F,2390
F,2390
F,2430
F,2460
